Country,Time,HICP (SA)
JP,1997-05,97.7373835017639
JP,1997-06,98.10589417621493
JP,1997-07,98.01479236245737
JP,1997-08,97.99410248736474
JP,1997-09,98.30238599645533
JP,1997-10,98.33997927835469
JP,1997-11,98.28182921275992
JP,1997-12,98.25316975348389
JP,1998-01,98.2006243331146
JP,1998-02,98.26049383979225
JP,1998-03,98.40424529599287
JP,1998-04,98.19474557148817
JP,1998-05,98.2793069160567
JP,1998-06,98.2442700528142
JP,1998-07,97.9663672109515
JP,1998-08,97.63770061729467
JP,1998-09,98.1198537212103
JP,1998-10,98.47315178894243
JP,1998-11,99.0450225458604
JP,1998-12,98.80560307473775
JP,1999-01,98.32202890980929
JP,1999-02,98.14288526830579
JP,1999-03,97.99292369174084
JP,1999-04,98.16087634353491
JP,1999-05,97.98208751439385
JP,1999-06,97.96366287288379
JP,1999-07,97.90951760538618
JP,1999-08,97.85933279189248
JP,1999-09,97.96138500978908
JP,1999-10,97.85454407672724
JP,1999-11,97.81555477249414
JP,1999-12,97.62736372478243
JP,2000-01,97.5312709018098
JP,2000-02,97.52543703610245
JP,2000-03,97.5259159688253
JP,2000-04,97.42004768328792
JP,2000-05,97.35510178134959
JP,2000-06,97.33889132180387
JP,2000-07,97.34749411664832
JP,2000-08,97.27870673376127
JP,2000-09,97.07708084767161
JP,2000-10,96.91056606552264
JP,2000-11,97.02337962986086
JP,2000-12,97.16707466957936
JP,2001-01,97.23078318329911
JP,2001-02,97.25698754722761
JP,2001-03,96.9383647899911
JP,2001-04,96.75733249052078
JP,2001-05,96.652374772543
JP,2001-06,96.59331983744262
JP,2001-07,96.56567033072497
JP,2001-08,96.52334322323021
JP,2001-09,96.38481044469486
JP,2001-10,96.34932481098151
JP,2001-11,96.14890546990759
JP,2001-12,96.02420874796415
JP,2002-01,95.95826622928529
JP,2002-02,95.75059562292911
JP,2002-03,95.71444072847412
JP,2002-04,95.77321744671607
JP,2002-05,95.84348359036215
JP,2002-06,95.86204155586034
JP,2002-07,95.72266617322184
JP,2002-08,95.72708918701228
JP,2002-09,95.66614550775189
JP,2002-10,95.48507735225719
JP,2002-11,95.78632828944924
JP,2002-12,95.70981100336783
JP,2003-01,95.59256029642205
JP,2003-02,95.54296043861842
JP,2003-03,95.5776191731185
JP,2003-04,95.6726145427796
JP,2003-05,95.65887596466808
JP,2003-06,95.45664663786246
JP,2003-07,95.51358948316242
JP,2003-08,95.49099670090946
JP,2003-09,95.44424318836876
JP,2003-10,95.48907422073191
JP,2003-11,95.32667257468263
JP,2003-12,95.29554046883833
JP,2004-01,95.27348352996988
JP,2004-02,95.49082681684976
JP,2004-03,95.42323321410451
JP,2004-04,95.25919550916393
JP,2004-05,95.16967389910911
JP,2004-06,95.4908404869078
JP,2004-07,95.42000976385866
JP,2004-08,95.37293001904672
JP,2004-09,95.42005402484062
JP,2004-10,95.95355082838005
JP,2004-11,96.15319013274123
JP,2004-12,95.5039308968399
JP,2005-01,95.43267834279743
JP,2005-02,95.36665781367678
JP,2005-03,95.4221652096449
JP,2005-04,95.38636364605169
JP,2005-05,95.297884140735
JP,2005-06,95.01245813978174
JP,2005-07,95.13254212432963
JP,2005-08,95.05350821155939
JP,2005-09,95.09965841042393
JP,2005-10,95.10547939497488
JP,2005-11,95.14699506201481
JP,2005-12,95.0875259627229
JP,2006-01,95.30007790858865
JP,2006-02,95.30204507317136
JP,2006-03,95.24609466854326
JP,2006-04,95.32102736236976
JP,2006-05,95.39787842055738
JP,2006-06,95.57046006052053
JP,2006-07,95.46903432049552
JP,2006-08,95.89931907054324
JP,2006-09,95.73379006150888
JP,2006-10,95.4991787549846
JP,2006-11,95.366554206713
JP,2006-12,95.35950545824804
JP,2007-01,95.29017856130423
JP,2007-02,95.1144210584434
JP,2007-03,95.13245089283886
JP,2007-04,95.3295825055538
JP,2007-05,95.41935700482622
JP,2007-06,95.38829689884436
JP,2007-07,95.48934744034129
JP,2007-08,95.64561821089615
JP,2007-09,95.54524512856642
JP,2007-10,95.76602566359645
JP,2007-11,95.94870041179014
JP,2007-12,95.96013741721117
JP,2008-01,96.0039986539306
JP,2008-02,96.08635059854228
JP,2008-03,96.1753979057738
JP,2008-04,95.97937993783245
JP,2008-05,96.63242377314947
JP,2008-06,97.2937839067769
JP,2008-07,97.72783467017452
JP,2008-08,97.64090621593495
JP,2008-09,97.59966873072062
JP,2008-10,97.51606809843102
JP,2008-11,96.8520705293459
JP,2008-12,96.42995463713004
JP,2009-01,96.01870300767281
JP,2009-02,95.89270630473564
JP,2009-03,95.87638574077252
JP,2009-04,95.89451375443893
JP,2009-05,95.63407741987415
JP,2009-06,95.59520076756158
JP,2009-07,95.547735785643
JP,2009-08,95.51211010238964
JP,2009-09,95.4592407892711
JP,2009-10,95.04331493513017
JP,2009-11,95.08805327188422
JP,2009-12,94.89721411370321
JP,2010-01,95.03544221560416
JP,2010-02,95.11760275440734
JP,2010-03,95.04740048341787
JP,2010-04,94.85277315115222
JP,2010-05,94.91098394374977
JP,2010-06,94.86846929095469
JP,2010-07,94.61900923684547
JP,2010-08,94.44887121899319
JP,2010-09,94.57513908867425
JP,2010-10,94.84736153928203
JP,2010-11,94.86240185565138
JP,2010-12,94.70011249348912
JP,2011-01,94.54476261528536
JP,2011-02,94.64254099732109
JP,2011-03,94.64392545218116
JP,2011-04,94.26006470132425
JP,2011-05,94.40622276541765
JP,2011-06,94.59261176735937
JP,2011-07,94.80655386953842
JP,2011-08,94.69206718915567
JP,2011-09,94.6048663274378
JP,2011-10,94.61954517986176
JP,2011-11,94.3746531274958
JP,2011-12,94.51264915791133
JP,2012-01,94.68110491365904
JP,2012-02,95.03620568582102
JP,2012-03,95.29864715209483
JP,2012-04,94.4899098117426
JP,2012-05,94.46645050022086
JP,2012-06,94.48254053675615
JP,2012-07,94.28688280488493
